Id,Disease,County,Year,Sex,Count,Population,Rate,CI_lower,CI_upper,Recalculated_Rate
39353,Diphtheria,California,2008,Male,0,18331667,0.0,0.0,0.02,0.0
60530,"Hepatitis E, acute infection",California,2013,Female,15,19177344,0.078,0.044000000000000004,0.129,0.078
23,Amebiasis,California,2008,Male,287,18331667,1.5659999999999998,1.39,1.758,1.566
17408,Campylobacteriosis,California,2001,Male,3054,17174034,17.783,17.158,18.425,17.783
133525,Typhus Fever,California,2011,Male,28,18691131,0.15,0.1,0.217,0.15
126077,Tuberculosis,California,2002,Male,1889,17384620,10.866,10.380999999999998,11.367,10.866
24834,Ciguatera Fish Poisoning,California,2009,Male,4,18445222,0.022000000000000002,0.006,0.055999999999999994,0.022
45952,Early Syphilis,California,2004,Male,2097,17785422,11.790999999999999,11.290999999999999,12.306,11.791
92956,Psittacosis,California,2013,Female,0,19177344,0.0,0.0,0.019,0.0
118695,Tetanus,California,2011,Male,2,18691131,0.011000000000000001,0.001,0.039,0.011
44362,E. coli Other STEC (non-O157),California,2012,Male,139,18841496,0.738,0.62,0.871,0.738
2489,Anaplasmosis and Ehrlichiosis,California,2004,Male,1,17785422,0.006,0.0,0.031,0.006
55903,Hemolytic Uremic Syndrome,California,2012,Female,25,19028077,0.131,0.085,0.19399999999999998,0.131
24825,Ciguatera Fish Poisoning,California,2006,Male,4,18028441,0.022000000000000002,0.006,0.057,0.022
27295,Coccidioidomycosis,California,2011,Male,3430,18691131,18.351,17.742,18.976,18.351
41828,E. coli O157,California,2005,Male,89,17899282,0.49700000000000005,0.39899999999999997,0.612,0.497
116215,Streptococcal Infection (cases in food and dairy workers),California,2013,Male,1,18988773,0.005,0.0,0.028999999999999998,0.005
53420,Hantavirus Infection,California,2006,Male,2,18028441,0.011000000000000001,0.001,0.04,0.011
22364,Cholera,California,2004,Female,1,17969405,0.006,0.0,0.031,0.006
27280,Coccidioidomycosis,California,2006,Male,2198,18028441,12.192,11.687000000000001,12.712,12.192
128546,Tularemia,California,2002,Male,1,17384620,0.006,0.0,0.032,0.006
7456,"Botulism, Foodborne",California,2003,Female,2,17783924,0.011000000000000001,0.001,0.040999999999999995,0.011
92920,Psittacosis,California,2001,Female,10,17340743,0.057999999999999996,0.027999999999999997,0.106,0.058
2494,Anaplasmosis and Ehrlichiosis,California,2006,Female,0,18220429,0.0,0.0,0.02,0.0
74716,Listeriosis,California,2013,Male,47,18988773,0.248,0.182,0.32899999999999996,0.248
48448,Giardiasis,California,2010,Female,668,18752748,3.562,3.2969999999999997,3.843,3.562
108828,Shigellosis,California,2007,Male,679,18180620,3.735,3.4589999999999996,4.027,3.735
22358,Cholera,California,2002,Female,0,17555714,0.0,0.0,0.021,0.0
121140,Toxic Shock Syndrome (Non-Streptococcal),California,2007,Female,1,18373955,0.005,0.0,0.03,0.005
131043,"Typhoid Fever, case",California,2009,Female,40,18634031,0.215,0.153,0.292,0.215
44355,E. coli Other STEC (non-O157),California,2010,Female,63,18752748,0.336,0.258,0.43,0.336
36909,Dengue,California,2009,Male,16,18445222,0.087,0.05,0.141,0.087
36902,Dengue,California,2007,Female,4,18373955,0.022000000000000002,0.006,0.055999999999999994,0.022
61242,HIV,California,2002,Male,5592,17384620,32.166,31.329,33.021,32.166
77133,Lyme Disease,California,2003,Female,35,17783924,0.19699999999999998,0.13699999999999998,0.27399999999999997,0.197
128573,Tularemia,California,2011,Male,3,18691131,0.016,0.003,0.047,0.016
131035,"Typhoid Fever, case",California,2006,Male,34,18028441,0.18899999999999997,0.131,0.264,0.189
90425,"Plague, human",California,2002,Male,0,17384620,0.0,0.0,0.021,0.0
90430,"Plague, human",California,2004,Female,0,17969405,0.0,0.0,0.021,0.0
139353,Yersiniosis,California,2014,Female,25,19346905,0.129,0.084,0.191,0.129
27294,Coccidioidomycosis,California,2011,Female,1775,18881056,9.401,8.969,9.849,9.401
136006,Varicella Hospitalizations,California,2011,Female,18,18881056,0.095,0.057,0.151,0.095
126094,Tuberculosis,California,2008,Female,1042,18526603,5.624,5.287999999999999,5.976,5.624
95326,Q Fever,California,2001,Female,1,17340743,0.006,0.0,0.032,0.006
9956,"Botulism, Other",California,2001,Female,0,17340743,0.0,0.0,0.021,0.0
85410,Paralytic Shellfish Poisoning,California,2003,Male,0,17607062,0.0,0.0,0.021,0.0
100234,Relapsing Fever,California,2001,Male,6,17174034,0.035,0.013000000000000001,0.076,0.035
116214,Streptococcal Infection (cases in food and dairy workers),California,2013,Female,4,19177344,0.021,0.006,0.053,0.021
61245,HIV,California,2003,Male,5013,17607062,28.471999999999998,27.689,29.271,28.472
27301,Coccidioidomycosis,California,2013,Male,2119,18988773,11.159,10.689,11.645,11.159
82098,Measles,California,2013,Male,10,18988773,0.053,0.025,0.09699999999999999,0.053
59070,"Hepatitis B, Acute",California,2013,Male,100,18988773,0.527,0.428,0.6409999999999999,0.527
63689,Influenza Death (<65 years of age),California,2013,Female,116,19177344,0.605,0.5,0.725,0.605
